index,city,country,continent,latitude,longitude,overall_rate,genres,keywords,event_cost,event_feedback,city_condition,weather_condition,facilities_feedback
0,London,United Kingdom,Europe,51.5074,-0.1278,4.7,Finance,"Fintech, banking, innovation",6500,The event provided valuable insights into the latest trends in finance and technology.,London was vibrant and offered a mix of historical and modern attractions.,The weather was mild with occasional rain.,"The facilities provided were excellent, with state-of-the-art technology and comfortable spaces."
1,New York City,United States,North America,40.7128,-74.006,4.6,Finance,"Fintech, digital innovation, startups",6500,The event provided valuable networking opportunities and insightful discussions.,New York City was lively with a diverse range of attractions.,"The weather was sunny and warm, perfect for outdoor events.","The facilities provided were excellent, with state-of-the-art technology and comfortable spaces."
2,Shanghai,China,Asia,31.2304,121.4737,4.1,E-commerce,"Online marketplace, digital payments, globalization",6000,The event showcased the latest trends in e-commerce and provided valuable business insights.,Shanghai was a vibrant metropolis with a blend of modern architecture and traditional culture.,The weather was humid with occasional rainfall.,"The facilities provided were satisfactory, but some improvements could be made."
3,Paris,France,Europe,48.8566,2.3522,4.7,Fashion,"Haute couture, luxury brands, fashion trends",7000,The event celebrated the world of fashion and luxury with remarkable showcases.,"Paris was romantic and offered a blend of art, culture, and exquisite cuisine.",The weather was pleasant with mild temperatures.,"The facilities provided were excellent, with luxurious settings and attentive staff."
4,Tokyo,Japan,Asia,35.6895,139.6917,4.5,Technology,"Robotics, AI, future technology",6000,The event showcased cutting-edge technology and provided insights into future innovations.,Tokyo was a bustling metropolis with a mix of traditional and modern attractions.,The weather was pleasant and mild.,"The facilities provided were excellent, with advanced audiovisual equipment and comfortable seating."
5,Berlin,Germany,Europe,52.52,13.405,4.4,Technology,"Innovation, entrepreneurship, tech ecosystem",5500,"The event celebrated innovation and entrepreneurship, showcasing exciting startup ventures.",Berlin was a vibrant city with a thriving tech scene and a rich history.,The weather was mild with occasional rain showers.,"The facilities provided were satisfactory, but some improvements could be made."
6,Dubai,United Arab Emirates,Asia,25.2048,55.2708,4.6,Business,"Business networking, luxury hospitality, event management",7000,The event provided excellent networking opportunities and showcased Dubai's luxury hospitality sector.,Dubai was a futuristic city with stunning architecture and a vibrant business environment.,"The weather was hot and sunny, typical of Dubai's desert climate.","The facilities provided were excellent, with luxurious venues and attentive staff."
7,Singapore,Singapore,Asia,1.3521,103.8198,4.5,Business,"Business innovation, tech startups, digital transformation",6000,The event explored business innovation and showcased Singapore's tech startup ecosystem.,Singapore was a modern and clean city with a multicultural vibe.,The weather was warm and humid.,"The facilities provided were satisfactory, but some improvements could be made."
8,Sydney,Australia,Australia,-33.8651,151.2099,4.7,Digital Marketing,"Digital advertising, marketing strategies, consumer insights",6500,The event provided valuable insights into digital marketing trends and consumer behavior.,Sydney had a vibrant and laid-back atmosphere with stunning coastal scenery.,The weather was pleasant with mild temperatures.,"The facilities provided were excellent, with modern technology and comfortable seating."
9,Toronto,Canada,North America,43.651,-79.347,4.4,Technology,"Tech startups, artificial intelligence, innovation ecosystem",5500,The event showcased Toronto's innovation ecosystem and highlighted the potential of tech startups.,Toronto was a cosmopolitan city with a diverse population and a thriving tech sector.,The weather was cool and partly cloudy.,"The facilities provided were satisfactory, but some improvements could be made."
10,Seoul,South Korea,Asia,37.5665,126.978,4.5,Technology,"K-pop, gaming industry, technology innovation",6000,"The event explored the intersection of technology and entertainment, showcasing South Korea's gaming and K-pop industries.",Seoul was a vibrant city with a mix of modern skyscrapers and historical landmarks.,The weather was cool and pleasant.,"The facilities provided were excellent, with modern amenities and comfortable seating."
11,San Francisco,United States,North America,37.7749,-122.4194,4.7,Technology,"Tech innovation, entrepreneurship, venture capital",6500,The event celebrated tech innovation and showcased exciting startup ventures.,San Francisco was a hub of technological innovation with a vibrant startup ecosystem.,The weather was sunny and pleasant.,"The facilities provided were excellent, with modern amenities and spacious venues."
12,Cape Town,South Africa,Africa,-33.9249,18.4241,4.6,Sustainable Development,"Green technologies, sustainability, conservation",7000,The event focused on sustainable development and showcased innovative green technologies.,Cape Town had breathtaking natural landscapes and a vibrant cultural scene.,The weather was mild and sunny.,"The facilities provided were satisfactory, but some improvements could be made."
